country;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Argentina;71;71,8;;;75,6;78,9;78,6;;;;;;;;;;;;;;;;;;98,6;;93;91,5;99,2;97,2;97,3;96,8;101;98,2;96,6;94,6;97,1;99,9;103;103;104;104;103;102;103;103;104;100;98,7;98,5;
Bolivia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97,3;96,9;97,4;94,4;90,7;88,8;89,9;91,6;94,8;91,6;
Brazil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112;114;109;101;;;;;;;;;;;;;;;;
Chile;79,3;86,8;91,2;92,2;90,4;90,9;93,1;90,6;;;;;;97,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;95,7;98,8;98,7;98,9;97;95,5;94,8;96,2;98,2;
Colombia;47,6;50,7;51,2;54,1;54,7;;;;;;;;72,2;74,9;75,1;69,4;72,3;71,9;71,3;71;75,3;74,4;83,3;84,2;83,9;88;89,5;;95,6;96,7;96;92,8;92,8;;100;104;111;113;113;118;117;115;110;99,8;99,2;100;102;106;107;107;
Ecuador;;55,7;54,9;58,5;61,3;65,2;69,6;71,4;70,5;74,4;77,4;81,2;83,9;87,7;90;90,5;;93,4;94,9;;;;;;94,9;92,7;92,3;95,6;;97;97,2;97,7;97,3;96,7;96,3;100;99,8;99,1;;97,2;103;107;108;109;112;106;104;105;104;101;101
Equatorial Guinea;;;;;;;;;;;;;;;;;;;;;;;;;36,4;;;;;;45;;;36,6;;43,9;;;41;43;44,4;42,5;44;;;40,8;;;;;
Guyana;;95,8;93,2;91,6;91,9;;88,2;93,2;87,5;87,4;79,5;82,9;84,6;80,7;85,4;;;87,9;;;;;91,3;89,8;;76,6;80,2;85;;104;108;92,7;;77,5;;93,5;93,8;94;95,5;98,4;92,7;97,6;97,4;;;;;;;;
Peru;62,2;;;63,7;66,9;68,2;74,3;80,8;79,8;79,8;78,2;76,6;;;;80,6;;;;;;;;84,8;;85;;;93,2;98;96,8;92,9;92,8;97,5;97,2;97,4;99,5;102;102;99,4;101;99,4;94,8;96,8;97,9;100;105;97,4;96,1;98,7;
Paraguay;43,6;45,5;44,2;47,4;48,5;48,8;49,9;51,5;52,2;;54,5;57,5;59,6;62,6;64,4;66,2;64,7;64,9;64,3;64,1;65,2;68,8;70;76,1;76,1;77,8;81,8;;91,4;88,2;91;91,1;92,8;95,3;94;94,4;93,2;93,8;93,5;93,1;91,7;88,8;88;88,7;91,1;88,4;87,2;;;;75
Uruguay;664;695;689;715;681;;694;702;692;705;726;;;;;87;881;919;922;93;946;95;928;945;948;943;944;958;959;962;973;954;949;918;922;954;997;104;107;106;105;104;103;103;104;104;105;987;103;;
Venezuela;;598;63;665;679;70;695;695;694;689;719;738;774;776;766;779;785;783;784;788;788;816;853;848;;;817;817;;821;839;853;92;897;897;915;953;973;95;951;939;952;963;961;968;961;941;926;;;
